"Municipality","Code","Porcentage of population living with at most 1/2 minimum wage (%)","Employed population (%)","Natural forests (%)","Households with access to electric energy (%)","Planted or destined to harvest area (%)","Maximum capcacity of reservoirs (m^3)","Nature conservation unit demarcated area(%)"
"Lagoa d'Anta",2406205,0.52,0.0669,0.0134,0.9405,0.111891014755274,0,0
"Lagoa de Pedras",2406304,0.532,0.0766,0.0216,0.9676,0.068354443293868,0,0
"Lagoa de Velhos",2406403,0.482,0.1658,0.1,0.9692,0.0303955138702794,0,0
"Lagoa Nova",2406502,0.549,0.0943,0.2057,0.9804,0.251563053803076,0,0
"Lagoa Salgada",2406601,0.522,0.0912,0.0747,0.9973,0.181599357108093,0,0
"Lajes",2406700,0.499,0.0861,0.6133,0.9645,0.0161357152807148,0,0
"Lajes Pintadas",2406809,0.513,0.0719,0.7825,0.9847,0.127806647785733,0,0
"Lucrécia",2406908,0.492,0.095,0.5101,0.9628,0.16125919553577,24754574,0
"Luís Gomes",2407005,0.531,0.0482,0.7576,0.9866,0.0307764841468366,0,0
"Macaíba",2407104,0.445,0.1535,0.1208,0.9681,0.0324078609636146,89835678,0
"Macau",2407203,0.428,0.1139,0.5935,0.9524,0.00602996249876514,0,0.106693505297803
"Major Sales",2407252,0.485,0.0756,0.273,0.9528,0.16141348547589,0,0
"Marcelino Vieira",2407302,0.522,0.0511,0.1585,0.973,0.0250060356915838,11200125,0
"Martins",2407401,0.508,0.1076,0.7788,0.9949,0.0308149902543993,0,0
"Maxaranguape",2407500,0.463,0.1053,0.5974,0.969,0.13068150366761,0,0
"Messias Targino",2407609,0.436,0.0806,0.5154,0.9277,0.0301666931611071,0,0
"Montanhas",2407708,0.514,0.0739,0.0358,0.9835,0.0181401508051204,0,0
"Monte Alegre",2407807,0.506,0.1114,0.0597,0.9804,0.0500409665520433,0,0
"Monte das Gameleiras",2407906,0.502,0.1803,0.3774,0.982,0.0245310526887985,0,0
"Mossoró",2408003,0.38,0.2268,0.377,0.9875,0.0919235884874232,0,0.0180275830466153
"Natal",2408102,0.357,0.3601,0.2331,0.9819,0.0467739141343242,0,0.0858792089152477
"Nísia Floresta",2408201,0.479,0.1265,0.2698,0.964,0.0964159774861326,84268200,0.838392871644778
"Nova Cruz",2408300,0.503,0.088,0.103,0.9502,0.0358009007968588,0,0
"Olho d'Água do Borges",2408409,0.514,0.0964,0.129,0.9843,0.0736365991022329,6450554,0
"Ouro Branco",2408508,0.439,0.1172,0.3453,0.996,0.00566070153632237,27937310,0
"Paraná",2408607,0.563,0.0512,0.3785,0.989,0.0851892268770783,0,0
"Paraú",2408706,0.464,0.0697,0.3771,0.9865,0.00471039894736897,8057520,0
"Parazinho",2408805,0.503,0.0716,0.3382,0.9751,0.0437054673285269,0,0
"Parelhas",2408904,0.417,0.1955,0.696,0.9873,0.0059497457853684,94112776,0
"Parnamirim",2403251,0.355,0.1782,0.4017,0.9781,0.0184547885763254,0,0
"Passa e Fica",2409100,0.508,0.0887,0.0178,0.9788,0.161687693263573,0,0
"Passagem",2409209,0.482,0.1471,0.0285,0.9907,0.0315276861588607,0,0
"Patu",2409308,0.493,0.0915,0.6166,0.9902,0.0225098904006604,7985249,0
"Pau dos Ferros",2409407,0.405,0.1638,0.0664,0.998,0.0674020032645679,54846000,0
"Pedra Grande",2409506,0.55,0.1805,0.5573,0.9985,0.0389926639697868,0,0
"Pedra Preta",2409605,0.551,0.1616,0.6297,0.9816,0.0176537728489048,0,0
"Pedro Avelino",2409704,0.494,0.0997,0.4941,0.9944,0.00426339394440932,0,0
"Pedro Velho",2409803,0.509,0.0849,0.1616,0.9724,0.156942479410084,0,0.143007555472528
"Pendências",2409902,0.474,0.1243,0.5895,0.984,0.0184538239250828,0,0
"Pilões",2410009,0.5,0.0662,1e-04,0.9617,0.0462662865762707,5901875,0
"Poço Branco",2410108,0.507,0.0486,0.2572,0.9878,0.0992693480820875,1.36e+08,0
